web-scraper-order,web-scraper-start-url,domainLink,domainLink-href,siteName,Category
"1540622504-678","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","jawcareer.com","https://www.snapnames.com/domain/jawcareer.com.action","jawcareer.com","Health > BodyParts"
"1540622541-690","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","inoffensive.net","https://www.snapnames.com/domain/inoffensive.net.action","inoffensive.net","null"
"1540622608-711","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","hequeen.com","https://www.snapnames.com/domain/hequeen.com.action","hequeen.com","People > People"
"1540623435-977","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","assetdoors.com","https://www.snapnames.com/domain/assetdoors.com.action","assetdoors.com","HomeAndGarden > Home"
"1540622281-605","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","medicaldecks.com","https://www.snapnames.com/domain/medicaldecks.com.action","medicaldecks.com","HomeAndGarden > Home"
"1540623145-885","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","coffeemuscle.com","https://www.snapnames.com/domain/coffeemuscle.com.action","coffeemuscle.com","Health > Health"
"1540622669-731","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","gpsathlete.com","https://www.snapnames.com/domain/gpsathlete.com.action","gpsathlete.com","Sports > Sports"
"1540623193-900","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","ceont.com","https://www.snapnames.com/domain/ceont.com.action","ceont.com","null"
"1540622997-837","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","djiboutiblog.com","https://www.snapnames.com/domain/djiboutiblog.com.action","djiboutiblog.com","Technology > Blogs"
"1540622624-716","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","healthyjaw.com","https://www.snapnames.com/domain/healthyjaw.com.action","healthyjaw.com","Health > Health"
"1540623028-847","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","devlatte.com","https://www.snapnames.com/domain/devlatte.com.action","devlatte.com","FoodAndDrink > Food"
"1540622029-525","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","phpshopping.com","https://www.snapnames.com/domain/phpshopping.com.action","phpshopping.com","Shopping > Shopping"
"1540622166-569","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","netherlandsant[...].com","https://www.snapnames.com/domain/netherlandsantillestravel.com.action","netherlandsantillestravel.com","Transportation > Travel"
"1540623379-959","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","beaugates.com","https://www.snapnames.com/domain/beaugates.com.action","beaugates.com","People > People"
"1540622706-743","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","gemsloft.com","https://www.snapnames.com/domain/gemsloft.com.action","gemsloft.com","HomeAndGarden > Realestate"
"1540623184-897","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","charm-bracelet.com","https://www.snapnames.com/domain/charm-bracelet.com.action","charm-bracelet.com","ClothingAndAccessories > Jewelry"
"1540622860-793","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","exnemesis.com","https://www.snapnames.com/domain/exnemesis.com.action","exnemesis.com","FamilyAndFriends > Family"
"1540623265-923","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","busscam.com","https://www.snapnames.com/domain/busscam.com.action","busscam.com","Transportation > Transportation"
"1540622351-628","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","magnoliabirdfarm.com","https://www.snapnames.com/domain/magnoliabirdfarm.com.action","magnoliabirdfarm.com","null"
"1540622780-767","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","fluxlogo.com","https://www.snapnames.com/domain/fluxlogo.com.action","fluxlogo.com","Arts > Art"
"1540622376-636","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","loodot.com","https://www.snapnames.com/domain/loodot.com.action","loodot.com","HomeAndGarden > Home"
"1540622296-610","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","mealstock.com","https://www.snapnames.com/domain/mealstock.com.action","mealstock.com","FoodAndDrink > Food"
"1540623181-896","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","chartercablein[...].com","https://www.snapnames.com/domain/chartercableinternet.com.action","chartercableinternet.com","Technology > Internet"
"1540622199-580","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","nanomags.com","https://www.snapnames.com/domain/nanomags.com.action","nanomags.com","Entertainment > Reading"
"1540622538-689","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","insurancefortpierce.com","https://www.snapnames.com/domain/insurancefortpierce.com.action","insurancefortpierce.com","null"
"1540623000-838","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","djdecal.com","https://www.snapnames.com/domain/djdecal.com.action","djdecal.com","Entertainment > Music"
"1540622786-769","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","flucash.com","https://www.snapnames.com/domain/flucash.com.action","flucash.com","Finance > Finance"
"1540622936-817","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","eatsindex.com","https://www.snapnames.com/domain/eatsindex.com.action","eatsindex.com","FoodAndDrink > Food"
"1540623296-933","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","brokeran.com","https://www.snapnames.com/domain/brokeran.com.action","brokeran.com","HomeAndGarden > Realestate"
"1540623004-839","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","disksell.com","https://www.snapnames.com/domain/disksell.com.action","disksell.com","Technology > Tech"
"1540623151-887","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","clubgmt.com","https://www.snapnames.com/domain/clubgmt.com.action","clubgmt.com","Entertainment > Entertainment"
"1540622008-519","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","pipall.com","https://www.snapnames.com/domain/pipall.com.action","pipall.com","ScienceAndEducation > Math"
